Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
DD56520035,Municipality,BROADWOOD DR,CRAWFORD DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,STOP SIGN,25,39.0749734,-77.12640841,2023-06-19,14:28:00,2023,6,19
MCP23950028,Maryland (State),FREDERICK RD,KING FARM BLVD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.11697567,-77.1691125,2022-11-22,18:45:00,2022,11,22
DD56530023,Maryland (State),ROCKVILLE PIKE,EDMONSTON DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLOUDY,DRY,TRAFFIC SIGNAL,40,39.07442977,-77.1356899,2023-04-30,03:47:00,2023,4,30
DD56420028,Municipality,W GUDE DR,PICCARD DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,,40,39.10272238,-77.17478957,2021-11-12,16:28:00,2021,11,12
DD5646001P,Maryland (State),HUNGERFORD DR,BEALL AVE #2,SAME DIRECTION RIGHT TURN,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.08697598,-77.14984871,2021-11-28,11:26:00,2021,11,28
MCP3259003C,Maryland (State),FREDERICK RD,W GUDE DR,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.1042377,-77.1564346,2023-05-24,17:00:00,2023,5,24
DD55400028,Maryland (State),ROCKVILLE PIKE,BOUIC AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,STOP SIGN,35,39.06024034,-77.12270929,2022-10-12,06:20:00,2022,10,12
MCP271700W3,Maryland (State),FREDERICK RD,WATKINS POND BLVD,OTHER,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.112158,-77.16191,2021-10-13,17:10:00,2021,10,13
MCP2394004K,Maryland (State),ROCKVILLE PIKE,HALPINE RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.06176361,-77.12394397,2021-07-13,09:44:00,2021,7,13
DD561500F2,Maryland (State),ROCKVILLE PIKE,HALPINE RD,HEAD ON LEFT TURN,ROCKVILLE,,DRY,TRAFFIC SIGNAL,40,39.06182501,-77.1241232,2023-01-05,06:40:00,2023,1,5
DD5630003F,Maryland (State),VEIRS MILL RD,ARDENNES AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.0761914,-77.12011463,2021-03-26,15:26:00,2021,3,26
MCP22900036,Maryland (State),FREDERICK RD,REDLAND BLVD,SAME DIRECTION LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.11475,-77.16470833,2021-11-01,12:19:00,2021,11,1
EJ78890038,County,SHADY GROVE RD,CHOKE CHERRY RD,SAME DIRECTION RIGHT TURN,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.11592472,-77.18473125,2022-10-27,17:15:00,2022,10,27
DD56490012,Municipality,E MIDDLE LA,N WASHINGTON ST,SAME DIR REAR END,ROCKVILLE,,DRY,TRAFFIC SIGNAL,25,39.085195,-77.15284167,2021-10-04,19:18:00,2021,10,4
MCP26890099,Maryland (State),W MONTGOMERY AVE,HURLEY AVE,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.08954317,-77.177909,2023-02-23,14:48:00,2023,2,23
MCP2816003F,County,MONTROSE RD,TILDENWOOD DR,SINGLE VEHICLE,ROCKVILLE,,WET,NO CONTROLS,35,39.053565,-77.13572833,2023-03-04,02:10:00,2023,3,4
DD55200020,Maryland (State),VEIRS MILL RD,MEADOW HALL DR,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,35,39.07470823,-77.11458134,2023-06-18,16:10:00,2023,6,18
MCP2239002D,Municipality,SOUTHLAWN LA,N HORNERS LA,OTHER,ROCKVILLE,CLEAR,DRY,STOP SIGN,20,39.09332483,-77.14332317,2022-11-29,07:48:00,2022,11,29
DD5638003F,Municipality,W GUDE DR,RESEARCH BLVD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.10005717,-77.18202167,2021-11-10,11:15:00,2021,11,10
DD5603008Z,Maryland (State),NORBECK RD,E GUDE DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.237995,-77.274895,2021-11-15,15:50:00,2021,11,15
DD5620008C,Municipality,TWINBROOK PKWY,LINTHICUM ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,STOP SIGN,35,39.08051283,-77.11337419,2022-11-03,15:45:00,2022,11,3
