Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
DD5631003Q,Maryland (State),NORBECK RD,FIRST ST SPUR,SINGLE VEHICLE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.074538,-77.136773,2021-01-06,21:56:00,2021,1,6
MCP2394002W,Maryland (State),HUNGERFORD DR,COLLEGE PKWY,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.10370167,-77.156165,2018-07-19,20:59:00,2018,7,19
DM8447001J,Maryland (State),NEW HAMPSHIRE AVE,GLENSIDE DR,STRAIGHT MOVEMENT ANGLE,TAKOMA PARK,CLEAR,DRY,TRAFFIC SIGNAL,35,38.981651,-76.988957,2017-04-08,17:36:00,2017,4,8
MCP20160076,Municipality,TWINBROOK PKWY,VEIRS MILL SERV RD,SAME DIR REAR END,ROCKVILLE,CLOUDY,DRY,NO CONTROLS,40,39.07212867,-77.11309867,2023-07-07,13:38:00,2023,7,7
DD5651002F,Municipality,NELSON ST,MANNAKEE ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,FLASHING TRAFFIC SIGNAL,25,39.09340167,-77.1613693,2022-11-29,09:37:00,2022,11,29
DD56420001,Maryland (State),ROCKVILLE PIKE,EDMONSTON DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLOUDY,DRY,FLASHING TRAFFIC SIGNAL,40,39.074385,-77.13539,2019-09-16,05:16:00,2019,9,16
MCP1221001S,Maryland (State),CLOPPER RD,METROPOLITAN GROVE RD,SAME DIR REAR END,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,35,39.14673667,-77.22739833,2015-12-03,07:43:00,2015,12,3
MCP94190008,County,SOUTHLAWN LA,SOUTHLAWN CT,SAME DIRECTION RIGHT TURN,ROCKVILLE,CLEAR,,NO CONTROLS,30,39.10011776,-77.1359539,2015-08-21,14:28:00,2015,8,21
DD5603001W,Maryland (State),ROCKVILLE PIKE,RICHARD MONTGOMERY DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,30,39.08040306,-77.14400589,2015-09-25,20:36:00,2015,9,25
EJ78550008,Maryland (State),QUINCE ORCHARD RD,FIRSTFIELD RD,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLEAR,,NO CONTROLS,35,39.14607928,-77.21990705,2015-04-30,16:19:00,2015,4,30
EJ7747003P,Municipality,S SUMMIT AVE,WELLS AVE,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLOUDY,DRY,STOP SIGN,25,39.14084167,-77.19356,2017-12-14,09:35:00,2017,12,14
EJ78810014,Maryland (State),FREDERICK RD,LAKE FOREST BLVD,SAME DIRECTION SIDESWIPE,GAITHERSBURG,CLEAR,DRY,YIELD SIGN,35,39.15079315,-77.20964983,2021-05-17,21:54:00,2021,5,17
MCP23980042,Municipality,E DIAMOND AVE,GIRARD ST,OPPOSITE DIRECTION SIDESWIPE,GAITHERSBURG,CLEAR,WET,,35,39.14169733,-77.186038,2022-04-08,05:44:00,2022,4,8
DD5611001T,Maryland (State),FALLS RD,GREAT FALLS RD (AHEAD),SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,10,39.07597133,-77.16289633,2016-12-13,19:02:00,2016,12,13
MCP2546002F,Maryland (State),NORBECK RD,AVERY RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,50,39.09274333,-77.12353167,2018-03-15,20:02:00,2018,3,15
MCP2837001S,Maryland (State),HUNGERFORD DR,N WASHINGTON ST,SAME DIR REAR END,ROCKVILLE,,DRY,NO CONTROLS,35,39.09265333,-77.153375,2017-12-19,16:33:00,2017,12,19
DD5664000H,Maryland (State),W MONTGOMERY AVE,NELSON ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,25,39.08568996,-77.17060109,2023-05-29,16:27:00,2023,5,29
DD5635000G,Maryland (State),W MONTGOMERY AVE,W GUDE DR,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.09967367,-77.1836765,2019-01-26,07:25:00,2019,1,26
MCP14170070,Maryland (State),GREAT SENECA HWY,LAKELANDS DR,SAME DIR REAR END,GAITHERSBURG,,DRY,NO CONTROLS,50,39.12118787,-77.22626925,2017-03-17,07:34:00,2017,3,17
EJ78600023,Maryland (State),FREDERICK RD,LAKE FOREST BLVD,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,30,39.15036167,-77.20884333,2019-09-05,20:24:00,2019,9,5
DD5630001K,Maryland (State),W JEFFERSON ST,S WASHINGTON ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,30,39.08119667,-77.147785,2019-06-15,14:42:00,2019,6,15
MCP3026006Q,Maryland (State),CONNECTICUT AVE,RAYMOND ST,SAME DIRECTION SIDESWIPE,CHEVY CHASE #3,CLEAR,DRY,NO CONTROLS,35,38.978835,-77.077035,2021-08-16,14:32:00,2021,8,16
MCP9419003P,Maryland (State),HUNGERFORD DR,MANNAKEE ST,SAME DIR BOTH LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.11418736,-77.16892287,2022-08-17,14:25:00,2022,8,17
EJ7854000K,County,N SUMMIT AVE,N SUMMIT AVE (BACK),HEAD ON LEFT TURN,GAITHERSBURG,RAINING,WET,STOP SIGN,30,39.148905,-77.19258833,2015-09-12,10:08:00,2015,9,12
MCP2954006N,Maryland (State),UNIVERSITY BLVD E,MERRIMAC DR,SAME DIR REAR END,TAKOMA PARK,CLOUDY,DRY,NO CONTROLS,35,38.99293,-76.99156167,2019-03-09,19:40:00,2019,3,9
DM84800016,Maryland (State),NEW HAMPSHIRE AVE,HOLTON LA,STRAIGHT MOVEMENT ANGLE,TAKOMA PARK,RAINING,WET,TRAFFIC SIGNAL,35,38.98590684,-76.98812768,2023-04-29,01:06:00,2023,4,29
DD5614000D,Municipality,N HORNERS LA,SOUTHLAWN LA,SAME DIR REAR END,ROCKVILLE,SNOW,SLUSH,STOP SIGN,25,39.09375333,-77.14369833,2016-02-15,10:03:00,2016,2,15
MCP3123000L,Municipality,MARYLAND AVE,E MIDDLE LA,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.08517667,-77.15069167,2018-04-30,17:59:00,2018,4,30
MCP22310033,Maryland (State),RIVER RD,GREYSTONE ST,HEAD ON LEFT TURN,SOMERSET,CLEAR,DRY,NO CONTROLS,30,38.96272,-77.09976,2017-04-12,14:21:00,2017,4,12
DM8453000D,Maryland (State),PHILADELPHIA AVE,CHICAGO AVE,SINGLE VEHICLE,TAKOMA PARK,CLEAR,DRY,STOP SIGN,30,38.98663815,-77.02147722,2015-08-03,13:38:00,2015,8,3
MCP26670038,Maryland (State),FREDERICK RD,DALAMAR ST,SAME DIRECTION SIDESWIPE,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,30,39.14706943,-77.20536947,2016-12-22,10:15:00,2016,12,22
DD5647001Z,Maryland (State),W JEFFERSON ST,GREAT FALLS RD,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,,35,39.083273,-77.15614583,2022-07-16,00:52:00,2022,7,16
DD5646000T,Maryland (State),HUNGERFORD DR,E MIDDLE LA,HEAD ON,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.08559017,-77.14835383,2021-01-21,12:45:00,2021,1,21
DD5635000T,Maryland (State),FREDERICK RD,REDLAND BLVD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.1154785,-77.1662575,2019-05-06,15:26:00,2019,5,6
MCP1210001Y,Maryland (State),W DIAMOND AVE,BUREAU DR,HEAD ON LEFT TURN,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,25,39.14204333,-77.21751,2017-06-29,14:52:00,2017,6,29
MCP2584000J,Maryland (State),VEIRS MILL RD,BROADWOOD DR,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,RAINING,WET,FLASHING TRAFFIC SIGNAL,40,39.07714167,-77.12364,2019-12-14,00:31:00,2019,12,14
MCP2843000W,Maryland (State),FREDERICK RD,TRAVIS AVE,HEAD ON LEFT TURN,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,40,39.16153667,-77.22308,2016-07-09,17:40:00,2016,7,9
MCP1566000R,Municipality,BALTIMORE RD,EDMONSTON DR,OTHER,ROCKVILLE,CLEAR,DRY,NO CONTROLS,25,39.08387591,-77.13193595,2017-08-29,01:08:00,2017,8,29
DM8514000G,Maryland (State),CARROLL AVE,MANOR CIR,STRAIGHT MOVEMENT ANGLE,TAKOMA PARK,CLEAR,DRY,STOP SIGN,15,38.97963167,-77.00476,2023-06-03,13:34:00,2023,6,3
DM84210015,Maryland (State),PHILADELPHIA AVE,MAPLE AVE,HEAD ON,TAKOMA PARK,CLEAR,DRY,TRAFFIC SIGNAL,25,38.98128,-77.01000667,2017-09-23,02:54:00,2017,9,23
DD56050021,Municipality,KING FARM BLVD,GAITHER RD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,RAINING,WET,NO CONTROLS,25,39.111635,-77.17742667,2016-02-03,10:58:00,2016,2,3
